name,author,rating,quantity
10-Day Green Smoothie Cleanse,JJ Smith,4.7,10
11/22/63: A Novel,Stephen King,4.6,9
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,10
1984 (Signet Classics),George Orwell,4.7,10
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,10
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,10
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,10
A Gentleman in Moscow: A Novel,Amor Towles,4.7,10
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,10
A Man Called Ove: A Novel,Fredrik Backman,4.6,10
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,10
A Stolen Life: A Memoir,Jaycee Dugard,4.6,10
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,10
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,10
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,10
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,10
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,10
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisleyâ€¦",Coloring Books for Adults,4.5,10
Alexander Hamilton,Ron Chernow,4.8,10
All the Light We Cannot See,Anthony Doerr,4.6,10
Allegiant,Veronica Roth,3.9,10
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,10
And the Mountains Echoed,Khaled Hosseini,4.3,10
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,10
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,10
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,10
Baby Touch and Feel: Animals,DK,4.6,10
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,10
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,10
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,10
Becoming,Michelle Obama,4.8,10
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,10
Between the World and Me,Ta-Nehisi Coates,4.7,10
Born to Run,Bruce Springsteen,4.7,10
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,10
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,10
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,10
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,10
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,10
Capital in the Twenty First Century,Thomas Piketty,4.5,10
Catching Fire (The Hunger Games),Suzanne Collins,4.7,10
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,10
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,10
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,10
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,10
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,10
Cutting for Stone,Abraham Verghese,4.6,10
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",BreneÌ Brown,4.8,10
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,10
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,10
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,10
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,10
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10
Decision Points,George W. Bush,4.6,10
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,10
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,10
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,10
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,10
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,4.8,10
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,10
Divergent,Veronica Roth,4.6,10
Divergent / Insurgent,Veronica Roth,4.5,10
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and Allâ€¦",Zhi Gang Sha,4.6,10
Doctor Sleep: A Novel,Stephen King,4.7,10
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,10
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,10
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,10
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,10
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,10
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,10
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,10
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,10
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,10
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,10
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,10
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,10
